I0,I1
1671,1500
1621,1443
1560,1386
1501,1331
1438,1277
1373,1224
1314,1173
1264,1123
1207,1074
1158,1026
1100,980
1046,935
985,892
936,850
880,809
833,770
794,732
750,696
706,661
661,628
619,596
580,566
539,537
503,510
476,485
453,461
430,438
403,418
376,398
350,381
328,365
308,351
290,338
274,327
259,318
244,310
232,304
224,300
217,297
212,296
208,297
206,299
206,303
207,309
209,316
212,325
216,335
223,348
232,362
242,377
255,394
271,413
289,433
311,455
332,479
353,504
375,531
401,559
431,589
457,620
484,653
517,688
561,724
601,761
639,800
682,840
719,882
757,925
798,970
836,1016
880,1063
937,1111
985,1161
1042,1213
1092,1265
1141,1319
1190,1374
1240,1430
1294,1487
1340,1545
1407,1605
1466,1665
1529,1727
1587,1790
1676,1854
1745,1918
1808,1984
1873,2050
1933,2118
1997,2186
2057,2255
2127,2325
2185,2396
2259,2468
2322,2540
2389,2613
2458,2686
2524,2761
2604,2835
2675,2911
2745,2987
2812,3063
2882,3140
2959,3217
3029,3294
3103,3372
3173,3451
3242,3529
3317,3608
3391,3687
3472,3766
3551,3845
3627,3925
3707,4004
3795,4084
3874,4136
3955,4215
4026,4295
4096,4374
4170,4453
4248,4533
4329,4611
4413,4690
4499,4769
4584,4847
4668,4925
4756,5002
4836,5079
4906,5156
4982,5232
5046,5307
5129,5383
5209,5457
5290,5531
5362,5604
5447,5677
5521,5749
5599,5820
5669,5891
5732,5961
5806,6029
5866,6098
5947,6165
6018,6231
6088,6296
6155,6361
6215,6424
6297,6486
6364,6548
6429,6608
6488,6667
6545,6725
6607,6782
6670,6838
6734,6892
6796,6945
6850,6997
6903,7048
6955,7098
7008,7146
7058,7192
7121,7238
7170,7282
7220,7325
7263,7366
7306,7406
7352,7444
7394,7481
7446,7516
7490,7550
7526,7583
7565,7613
7620,7643
7654,7671
7687,7697
7716,7721
7742,7744
7771,7766
7802,7786
7826,7804
7845,7821
7864,7835
7884,7849
7907,7860
7929,7870
7945,7879
7956,7886
7964,7891
7972,7894
7978,7896
7984,7896
7988,7894
7989,7891
7988,7886
7988,7879
7985,7871
7982,7861
7977,7850
7970,7837
7961,7822
7951,7805
7936,7787
7919,7767
7899,7746
7879,7723
7860,7699
7843,7673
7823,7645
7798,7616
7766,7585
7735,7553
7705,7519
7670,7484
7634,7447
7599,7409
7557,7369
7514,7328
7479,7285
7435,7241
7388,7196
7348,7149
7302,7101
7257,7052
7207,7001
7153,6949
7100,6896
7037,6842
6992,6786
6937,6729
6884,6672
6821,6612
6762,6552
6688,6491
6631,6429
6564,6366
6508,6301
6445,6236
6381,6170
6311,6103
6231,6035
6168,5966
6106,5896
6046,5826
5978,5755
5911,5683
5835,5610
5769,5537
5702,5463
5634,5388
5565,5313
5486,5238
5401,5161
5330,5085
5257,5008
5186,4930
5111,4853
5028,4775
4965,4696
4887,4617
4811,4539
4732,4459
4606,4380
4518,4301
4452,4221
4384,4142
4308,4062
4229,3983
4157,3903
4086,3824
4014,3745
3938,3665
3853,3587
3779,3508
3741,3429
3625,3351
3548,3273
3471,3196
3393,3119
3322,3042
3250,2966
3181,2890
3106,2815
3023,2741
2952,2667
2873,2593
2800,2520
2728,2448
2647,2377
2558,2307
2491,2237
2422,2168
2354,2100
2281,2032
2204,1966
2134,1901
2061,1836
2001,1773
1933,1710
1865,1649
1792,1589
1711,1529
1651,1471
1593,1414
1534,1359
1471,1304
1411,1251
1340,1199
1291,1148
1235,1098
1184,1050
1130,1003
1075,958
1016,913
960,871
907,829
853,789
811,751
770,714
727,678
685,644
639,612
598,581
559,551
518,524
487,497
463,472
441,449
416,428
389,408
363,389
339,373
318,358
299,344
282,332
266,322
252,314
238,307
227,302
219,298
213,296
209,296
206,298
205,301
206,306
208,312
209,320
213,330
219,341
227,354
237,369
248,385
262,403
279,423
299,444
321,467
354,491
376,517
399,545
426,574
451,605
475,637
504,670
543,706
585,742
623,780
661,820
700,861
737,903
777,947
817,993
857,1039
912,1087
963,1136
1014,1187
1067,1239
1115,1292
1166,1346
1213,1401
1269,1458
1318,1516
1374,1575
1437,1635
1498,1696
1558,1758
1620,1822
1677,1886
1750,1951
1819,2017
1894,2084
1957,2152
2021,2221
2082,2290
2149,2361
2217,2432
2286,2504
2354,2576
2421,2650
2491,2723
2559,2798
2637,2873
2710,2949
2776,3025
2846,3101
2918,3178
2992,3256
3067,3333
3136,3411
3207,3490
3278,3568
3351,3647
3435,3726
3510,3806
3589,3885
3670,3964
3752,4044
3834,4096
3919,4176
3991,4255
4061,4334
4136,4414
4203,4493
4289,4572
4374,4651
4458,4729
4540,4808
4632,4886
4714,4963
4795,5041
4872,5117
4944,5194
5010,5270
5089,5345
5166,5420
5246,5494
5326,5568
5400,5641
5484,5713
5564,5785
5634,5856
5702,5926
5768,5995
5835,6064
5907,6131
5979,6198
6086,6264
6157,6329
6213,6392
6287,6455
6345,6517
6409,6578
6464,6638
6525,6696
6582,6754
6650,6810
6704,6865
6769,6919
6821,6972
6878,7023
6929,7073
6985,7122
7033,7169
7091,7215
7147,7260
7193,7303
7241,7345
7283,7386
7328,7425
7374,7463
7419,7499
7469,7533
7505,7567
7541,7598
7584,7628
7620,7657
7654,7684
7691,7709
7721,7733
7750,7755
7781,7776
7811,7795
7834,7812
7854,7828
7874,7842
7897,7855
7921,7866
7941,7875
7954,7882
7963,7888
7971,7893
7977,7895
7983,7896
7988,7895
7991,7893
7991,7889
7990,7883
7988,7876
7985,7866
7982,7856
7976,7843
7968,7829
7959,7814
7946,7796
7931,7777
7911,7757
7891,7735
7871,7711
7853,7686
7834,7659
7813,7631
7785,7601
7753,7569
7722,7536
7690,7501
7653,7465
7618,7428
7581,7389
7535,7348
7497,7307
7459,7263
7411,7219
7369,7173
7327,7125
7279,7077
7234,7027
7178,6975
7128,6923
7066,6869
7015,6814
6966,6758
6910,6701
6854,6642
6792,6583
6725,6522
6661,6460
6596,6397
6507,6334
6448,6269
6393,6203
6326,6136
6257,6069
6183,6000
6129,5931
6068,5861
6006,5790
5940,5719
5861,5646
5801,5573
5729,5500
5667,5426
5598,5351
5515,5275
5443,5200
5357,5123
5293,5046
5222,4969
5146,4892
5067,4814
4994,4735
4922,4657
4850,4578
4771,4499
4684,4420
4605,4341
4519,4261
4445,4182
4369,4102
4289,4023
4203,3943
4137,3864
4060,3784
3984,3705
3907,3626
3823,3547
3745,3469
3667,3390
3592,3312
3518,3235
3442,3157
3357,3080
3290,3004
3217,2928
3144,2853
3071,2778
2990,2703
2913,2630
2840,2557
2764,2484
2689,2413
2612,2342
2523,2272
2457,2202
2386,2134
2315,2066
2247,1999
2165,1933
2100,1868
2031,1804
1966,1741
1901,1680
1826,1619
1756,1559
1676,1500
1622,1443
1561,1386
1504,1331
1441,1277
1375,1224
1314,1173
1265,1123
1208,1074
1159,1026
1102,980
1046,935
983,892
933,850
875,809
830,770
792,732
748,696
704,661
662,628
616,596
577,566
535,537
500,510
474,485
452,461
430,438
403,418
376,398
350,381
327,365
307,351
289,338
274,327
259,318
245,310
227,304
219,300
214,297
211,296
209,297
207,299
207,303
209,309
211,316
213,325
218,335
225,348
234,362
245,377
259,394
274,413
292,433
313,455
334,479
355,504
377,531
404,559
432,589
458,620
484,653
519,688
562,724
601,761
640,800
681,840
718,882
757,925
798,970
836,1016
882,1063
939,1111
987,1161
1043,1213
1093,1265
1141,1319
